uid,genre,aired,episodes,score,start,end
9088,"['Action', 'Adventure', 'Drama', 'Fantasy']","Mar 25, 2011 to Nov 25, 2011",3.0,7.93,"Mar 25, 2011","Nov 25, 2011"
33190,"['Sci-Fi', 'Drama']","Sep 3, 2016",1.0,7.93,"Sep 3, 2016",
20,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']","Oct 3, 2002 to Feb 8, 2007",220.0,7.93,"Oct 3, 2002","Feb 8, 2007"
33221,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Jun 25, 2016",1.0,7.93,"Jun 25, 2016",
22097,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']","May 14, 2014 to Jul 15, 2015",5.0,7.93,"May 14, 2014","Jul 15, 2015"
3014,"['Action', 'Military', 'Sci-Fi', 'Space']","Feb 6, 1988",1.0,7.93,"Feb 6, 1988",
2890,"['Adventure', 'Fantasy']","Jul 19, 2008",1.0,7.93,"Jul 19, 2008",
6702,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']","Oct 12, 2009 to Mar 30, 2013",175.0,7.93,"Oct 12, 2009","Mar 30, 2013"
2035,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']","Apr 17, 2007 to Jul 3, 2007",12.0,7.93,"Apr 17, 2007","Jul 3, 2007"
6351,"['Drama', 'Romance', 'School']","Jul 1, 2009",1.0,7.93,"Jul 1, 2009",
6377,"['Comedy', 'Parody', 'School', 'Shounen']","Jul 5, 2009 to Sep 27, 2009",13.0,7.94,"Jul 5, 2009","Sep 27, 2009"
1485,"['Comedy', 'Drama', 'Shoujo']","Jul 11, 1996 to Mar 26, 1997",35.0,7.93,"Jul 11, 1996","Mar 26, 1997"
4163,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']","Nov 3, 2008 to Jan 5, 2009",2.0,7.94,"Nov 3, 2008","Jan 5, 2009"
2143,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']","Apr 28, 2007 to Mar 28, 2008",3.0,7.94,"Apr 28, 2007","Mar 28, 2008"
6007,"['Adventure', 'Fantasy', 'Historical', 'Romance']","Apr 30, 2009",1.0,7.94,"Apr 30, 2009",
25517,"['Adventure', 'Comedy', 'Romance', 'Shounen']","Oct 4, 2014 to Mar 28, 2015",24.0,7.94,"Oct 4, 2014","Mar 28, 2015"
27947,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']","Oct 2, 2015 to Mar 18, 2016",24.0,7.94,"Oct 2, 2015","Mar 18, 2016"
1695,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']","Jan 7, 2007 to Dec 30, 2007",52.0,7.94,"Jan 7, 2007","Dec 30, 2007"
187,"['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']","Jan 13, 2001",1.0,7.94,"Jan 13, 2001",
14175,"['Slice of Life', 'Comedy', 'Drama']","Mar 9, 2013",1.0,7.94,"Mar 9, 2013",
24471,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']","Feb 23, 2015 to Mar 23, 2017",4.0,7.94,"Feb 23, 2015","Mar 23, 2017"
35110,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']","Sep 15, 2017",1.0,7.94,"Sep 15, 2017",
35120,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']","Jan 5, 2018",10.0,7.94,"Jan 5, 2018",
779,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']","Apr 19, 1997",1.0,7.94,"Apr 19, 1997",
10012,"['Comedy', 'Parody', 'Supernatural']","Aug 14, 2011 to Dec 31, 2011",12.0,7.94,"Aug 14, 2011","Dec 31, 2011"
2605,"['Comedy', 'Parody', 'School', 'Shounen']","Jul 8, 2007 to Sep 23, 2007",12.0,7.95,"Jul 8, 2007","Sep 23, 2007"
31973,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","Dec 25, 2015 to Apr 22, 2016",4.0,7.95,"Dec 25, 2015","Apr 22, 2016"
4985,"['Action', 'Magic', 'Comedy', 'Sci-Fi', 'Drama']","Jan 23, 2010",1.0,7.95,"Jan 23, 2010",
3572,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']","Apr 4, 2008 to Sep 26, 2008",25.0,7.95,"Apr 4, 2008","Sep 26, 2008"
4280,"['Action', 'Mystery', 'Supernatural', 'Thriller']","May 24, 2008",1.0,7.95,"May 24, 2008",
429,"['Comedy', 'Drama', 'Shoujo']","Dec 11, 2005",1.0,7.95,"Dec 11, 2005",
5781,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mecha', 'School']","May 22, 2009 to May 26, 2010",13.0,7.95,"May 22, 2009","May 26, 2010"
10029,"['Historical', 'Romance', 'School', 'Shoujo']","Jul 16, 2011",1.0,7.95,"Jul 16, 2011",
38250,"['Game', 'Sci-Fi', 'Slice of Life', 'Comedy', 'Drama', 'Magic', 'School', 'Shounen Ai']","Aug 27, 2018 to Feb 16, 2019",72.0,7.96,"Aug 27, 2018","Feb 16, 2019"
16916,"['Sports', 'Comedy', 'School', 'Shounen']","Feb 22, 2013",1.0,7.96,"Feb 22, 2013",
7062,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Jan 8, 2010 to Mar 26, 2010",12.0,7.96,"Jan 8, 2010","Mar 26, 2010"
2623,"['Drama', 'Historical']","Mar 15, 1997",1.0,7.96,"Mar 15, 1997",
790,"['Psychological', 'Mystery', 'Sci-Fi']","Feb 25, 2006 to Aug 12, 2006",23.0,7.96,"Feb 25, 2006","Aug 12, 2006"
8408,"['Action', 'Comedy', 'Supernatural']","Aug 25, 2010 to Feb 23, 2011",2.0,7.96,"Aug 25, 2010","Feb 23, 2011"
780,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']","Apr 18, 1998",1.0,7.96,"Apr 18, 1998",
24921,"['Action', 'Sci-Fi', 'Seinen']","Oct 3, 2015",1.0,7.96,"Oct 3, 2015",
